Country,Confirmed,Deaths,Recovered,Active,New cases,New deaths,New recovered,Confirmedlastweek,WHO Region
Dominican Republic,64156,1083,30204,32869,1248,20,1601,53956,Americas
Ecuador,81161,5532,34896,40733,467,17,0,74620,Americas
Egypt,92482,4652,34838,52992,420,46,1007,88402,Eastern Mediterranean
El Salvador,15035,408,7778,6849,405,8,130,12207,Americas
Equatorial Guinea,3071,51,842,2178,0,0,0,3071,Africa
Eritrea,265,0,191,74,2,0,2,251,Africa
Estonia,2034,69,1923,42,0,0,1,2021,Europe
Eswatini,2316,34,1025,1257,109,2,39,1826,Africa
Ethiopia,14547,228,6386,7933,579,5,170,10207,Africa
Fiji,27,0,18,9,0,0,0,27,Western Pacific
